,single,danceability,energy,instrumentalness,explicit,collab,timesig_0,timesig_1,timesig_3,timesig_4,timesig_5,track_number,duration_s
7935,1,0.759,0.538,0.0,1,1,0,0,0,1,0,0.0,0.03497244595167444
3256,0,0.558,0.818,0.0,0,0,0,0,0,1,0,0.24999999999999997,0.03497244595167444
6877,0,0.823,0.54,0.0,1,0,0,0,0,1,0,0.041666666666666664,0.035820262823230184
4096,0,0.535,0.887,0.921,0,0,0,0,0,0,1,0.16666666666666666,0.03052140737600678
5654,0,0.272,0.807,0.000117,1,0,0,0,0,1,0,0.3333333333333333,0.06252649427723611
1531,0,0.844,0.592,0.0,1,0,0,0,0,1,0,0.16666666666666666,0.04281475201356507
9669,0,0.831,0.0194,0.922,0,0,0,0,0,1,0,0.37499999999999994,0.024586689275116574
8776,0,0.37,0.91,0.884,0,0,0,0,0,1,0,0.9999999999999999,0.013565069944891903
5074,0,0.521,0.621,0.0579,0,0,0,0,0,1,0,0.041666666666666664,0.051716829164900384
5238,0,0.75,0.265,0.000231,0,0,0,0,0,1,0,0.75,0.03412462908011869
1740,1,0.801,0.887,0.881,0,0,0,0,0,1,0,0.041666666666666664,0.08350996184824078
1238,0,0.656,0.9,0.757,0,0,0,0,0,1,0,0.41666666666666663,0.06740144128868164
7550,0,0.731,0.601,0.749,0,0,0,0,0,1,0,0.24999999999999997,0.03136922424756253
2591,0,0.538,0.775,0.0,0,0,0,0,0,1,0,0.3333333333333333,0.034548537515896566
4288,0,0.505,0.996,0.868,0,0,0,0,0,1,0,0.5833333333333334,0.005510809665112335
3541,0,0.311,0.543,0.000299,0,0,0,0,1,0,0,0.9999999999999999,0.014412886816447645
1121,0,0.464,0.701,0.309,1,0,0,0,0,1,0,0.041666666666666664,0.04917337855023315
8761,0,0.548,0.721,0.0,0,1,0,0,0,1,0,0.041666666666666664,0.030733361593895718
7657,0,0.582,0.81,0.0,0,0,0,0,0,1,0,0.37499999999999994,0.0241627808393387
3588,1,0.477,0.242,0.0,0,0,0,0,0,1,0,0.125,0.03984739296311997
1960,0,0.438,0.582,5.02e-05,0,0,0,0,0,1,0,0.49999999999999994,0.06443408223823655
7712,0,0.486,0.921,0.00027,0,0,0,0,0,1,0,0.29166666666666663,0.047901653242899536
4479,0,0.396,0.554,0.0,1,0,0,0,0,1,0,0.041666666666666664,0.053624417125900804
997,0,0.344,0.986,0.0213,0,0,0,0,0,1,0,0.37499999999999994,0.02543450614667232
572,0,0.629,0.551,2.88e-05,0,0,0,0,0,1,0,0.041666666666666664,0.0453582026282323
4660,0,0.812,0.873,1.06e-05,0,0,0,0,0,1,0,0.4583333333333333,0.04726579058923273
3514,0,0.423,0.797,0.0,0,0,0,0,0,1,0,0.24999999999999997,0.0589232725731242
3702,0,0.818,0.575,0.0,1,0,0,0,1,0,0,0.41666666666666663,0.027766002543450616
3969,0,0.572,0.81,0.000138,0,0,0,0,0,1,0,0.24999999999999997,0.04175498092412039
5586,0,0.51,0.756,0.572,0,0,0,0,0,1,0,0.24999999999999997,0.026706231454005934
1414,0,0.337,0.998,0.988,0,0,0,0,0,1,0,0.9999999999999999,0.013565069944891903
5436,0,0.521,0.978,0.935,0,0,0,0,0,1,0,0.9999999999999999,0.00847816871555744
3590,0,0.792,0.563,0.0,1,0,0,0,0,1,0,0.08333333333333334,0.04345061466723188
4721,0,0.319,0.955,2.62e-05,1,0,0,0,0,1,0,0.37499999999999994,0.03899957609156422
8105,0,0.877,0.677,0.0,1,0,0,0,0,1,0,0.20833333333333334,0.03242899533700721
985,0,0.614,0.868,0.811,0,0,0,0,0,1,0,0.7916666666666666,0.07927087749046206
6773,0,0.78,0.492,0.0313,0,0,0,0,0,1,0,0.16666666666666666,0.0158965663416702
5088,0,0.743,0.807,0.0,0,0,0,0,0,1,0,0.24999999999999997,0.04345061466723188
215,0,0.463,0.473,0.967,0,0,0,0,0,1,0,0.125,0.08414582450190759
1326,0,0.263,0.158,0.0,0,0,0,0,0,1,0,0.49999999999999994,0.05637982195845697
9428,0,0.545,0.277,0.0,0,0,0,0,0,1,0,0.20833333333333334,0.059771089444679945
2995,0,0.746,0.873,0.0,1,0,0,0,0,1,0,0.0,0.04302670623145401
8136,0,0.552,0.787,0.596,0,0,0,0,0,1,0,0.9999999999999999,0.009749894022891056
57,0,0.469,0.918,0.000392,0,0,0,0,0,1,0,0.16666666666666666,0.028825773632895298
2028,0,0.588,0.453,0.0,0,0,0,0,0,1,0,0.24999999999999997,0.02755404832556168
4361,0,0.604,0.655,0.0019,0,0,0,0,0,1,0,0.08333333333333334,0.03412462908011869
4947,0,0.652,0.373,0.00263,0,0,0,0,0,1,0,0.9999999999999999,0.0453582026282323
2712,0,0.499,0.797,0.0,0,0,0,0,0,1,0,0.0,0.03624417125900806
1345,0,0.558,0.924,3.32e-06,0,0,0,0,0,1,0,0.041666666666666664,0.03539635438745231
3285,1,0.73,0.856,0.000772,0,0,0,0,0,1,0,0.0,0.04154302670623145
3204,0,0.74,0.727,0.0,0,0,0,0,0,1,0,0.16666666666666666,0.03539635438745231
9266,0,0.769,0.759,0.000628,0,0,0,0,0,1,0,0.041666666666666664,0.038787621873675286
2976,0,0.743,0.848,0.000118,0,0,0,0,0,1,0,0.0,0.04345061466723188
7858,0,0.327,0.715,0.68,0,0,0,0,0,1,0,0.041666666666666664,0.07948283170835099
3574,0,0.887,0.516,0.0,0,0,0,0,0,1,0,0.5833333333333334,0.01844001695633743
1882,0,0.784,0.598,0.713,0,0,0,0,0,1,0,0.0,0.0665536244171259
3829,0,0.405,0.995,0.274,0,0,0,0,0,1,0,0.9999999999999999,0.019711742263671048
6007,1,0.594,0.798,0.0,1,0,0,0,0,1,0,0.0,0.03645612547689699
4087,1,0.728,0.616,0.0,0,0,0,0,0,1,0,0.0,0.03433658329800763
2804,0,0.773,0.278,8.91e-05,1,0,0,0,0,1,0,0.625,0.03306485799067401
4265,0,0.562,0.904,0.0,0,0,0,0,0,1,0,0.125,0.0294616362865621
